Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,DET,WAS,W,39,78,0.5,9,24,0.375,26,33,0.788,12,32,44,24,6,4,18,27,113
2013/11/01,DET,MEM,L,40.5,83.5,0.486,8,22.5,0.354,21.5,28.5,0.748,13.5,29,42.5,22.5,8,5,18.5,26.5,110.5
2013/11/03,DET,BOS,W,38.3333333333333,81,0.473,6,19.3333333333333,0.28733333333333,20,28.6666666666667,0.694,14,29,43,20.3333333333333,10.3333333333333,5.66666666666667,19.3333333333333,22.6666666666667,102.666666666667
2013/11/05,DET,IND,L,37,82.5,0.4495,5.75,20.75,0.2655,20,27.75,0.7205,13.75,29,42.75,18.5,10.25,5.75,18,23,99.75
2013/11/08,DET,OKC,L,37.4,84.2,0.4454,6.8,22.8,0.2834,20.2,27.6,0.732,14.2,28.4,42.6,19.2,10.2,5.8,17,23.8,101.8
2013/11/11,DET,POR,L,38.1666666666667,85.3333333333333,0.44816666666667,6.16666666666667,21.3333333333333,0.27183333333333,19.5,26.5,0.737,14.8333333333333,27.6666666666667,42.5,19.3333333333333,10.1666666666667,5.16666666666667,15.5,22,102
2013/11/12,DET,GSW,L,38,85.5714285714286,0.44485714285714,5.71428571428571,20.8571428571429,0.25685714285714,19.2857142857143,26.5714285714286,0.727,15,26.2857142857143,41.2857142857143,18.8571428571429,10.4285714285714,5,15,22.4285714285714,101
2013/11/15,DET,SAC,W,38,85.5,0.445125,5.75,21.125,0.257375,18.75,26.25,0.71425,14.75,27.125,41.875,19.75,10.375,5.125,14.625,22.125,100.5
2013/11/17,DET,LAL,L,38.4444444444444,85.6666666666667,0.44933333333333,6,21.3333333333333,0.26744444444444,17.4444444444444,25.2222222222222,0.68066666666667,14.4444444444444,27.1111111111111,41.5555555555556,20.2222222222222,10,4.88888888888889,14.5555555555556,20.7777777777778,100.333333333333
2013/11/19,DET,NYK,W,38.1,84.1,0.4544,6.1,21.1,0.2775,17.2,24.8,0.684,14,27.1,41.1,20.1,9.6,4.8,14.6,20.7,99.5
