Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,HOU,CHA,W,36,76,0.474,9,25,0.36,15,24,0.625,14,40,54,17,4,6,18,16,96
2013/11/01,HOU,DAL,W,35,74.5,0.47,10,27,0.3695,24.5,37.5,0.646,13.5,39,52.5,17,7.5,5,20,18,104.5
2013/11/02,HOU,UTA,W,34.6666666666667,72,0.48233333333333,9.66666666666667,25.3333333333333,0.38266666666667,25.3333333333333,36.6666666666667,0.68766666666667,12,36.3333333333333,48.3333333333333,16.6666666666667,7,5.66666666666667,19.3333333333333,19.6666666666667,104.333333333333
2013/11/04,HOU,LAC,L,36.25,74.5,0.48675,9,25.25,0.357,26.25,38.25,0.68425,12.25,35.5,47.75,17.75,7,5,18.25,20.25,107.75
2013/11/05,HOU,POR,W,37.2,74.6,0.4988,8.4,24.6,0.3402,26.6,37.4,0.7122,11.8,35.8,47.6,17.6,6.8,4.6,18.6,21.6,109.4
2013/11/07,HOU,LAL,L,35.8333333333333,75,0.4785,8.16666666666667,25,0.32666666666667,27.6666666666667,39.8333333333333,0.69933333333333,11.1666666666667,35.8333333333333,47,17.5,7.66666666666667,5,18.3333333333333,20.8333333333333,107.5
2013/11/09,HOU,LAC,L,35.7142857142857,75.4285714285714,0.47428571428571,8,25.1428571428571,0.31842857142857,26.1428571428571,38,0.68942857142857,11,35.2857142857143,46.2857142857143,18,8,5,18.2857142857143,21.1428571428571,105.571428571429
2013/11/11,HOU,TOR,W,35.875,76.5,0.47,7.875,25.25,0.31225,26.5,39.125,0.680375,11.25,36.625,47.875,18.375,8,6.125,18.875,22.25,106.125
2013/11/13,HOU,PHI,L,36.6666666666667,78.6666666666667,0.46755555555556,8.66666666666667,27,0.31822222222222,25.3333333333333,37.5555555555556,0.67588888888889,11.4444444444444,36.6666666666667,48.1111111111111,20.1111111111111,8,7.11111111111111,18.8888888888889,22.7777777777778,107.333333333333
2013/11/14,HOU,NYK,W,36.1,77.6,0.4664,8.7,27.1,0.3185,26.6,38.2,0.6947,11.4,36.2,47.6,19.5,7.8,7,18.4,22.4,107.5
2013/11/16,HOU,DEN,W,36.5454545454545,77.9090909090909,0.47,8.72727272727273,26.5454545454545,0.32854545454545,27,38.7272727272727,0.69563636363636,11.4545454545455,36.0909090909091,47.5454545454545,20.1818181818182,7.63636363636364,7.18181818181818,18.1818181818182,22.4545454545455,108.818181818182
2013/11/19,HOU,BOS,W,36.9166666666667,77.4166666666667,0.47825,8.75,26.0833333333333,0.33691666666667,26.25,37.5,0.70016666666667,11,36.5833333333333,47.5833333333333,20.3333333333333,7.58333333333333,7.41666666666667,18.25,22.25,108.833333333333
2013/11/20,HOU,DAL,L,37.3076923076923,77.3076923076923,0.484,9,26.4615384615385,0.34076923076923,26.0769230769231,37.1538461538462,0.70223076923077,10.7692307692308,35.4615384615385,46.2307692307692,21,7.69230769230769,7,17.6923076923077,22.3076923076923,109.692307692308
