Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,MIL,NYK,L,34,74,0.459,5,16,0.313,10,12,0.833,5,26,31,19,10,4,23,22,83
2013/11/01,MIL,BOS,W,34.5,79,0.438,5.5,15.5,0.3565,19.5,23,0.843,11,25,36,18.5,10,5.5,15,23,94
2013/11/02,MIL,TOR,L,35.3333333333333,80.6666666666667,0.43866666666667,5.66666666666667,16,0.35533333333333,16.3333333333333,21.3333333333333,0.74733333333333,9.33333333333333,27.3333333333333,36.6666666666667,20.6666666666667,9,5.33333333333333,14.3333333333333,24,92.6666666666667
2013/11/06,MIL,CLE,W,35.5,78.5,0.454,7.5,17.75,0.40775,18.25,22.5,0.79125,9.25,28.5,37.75,21.75,7.5,5,14.25,22.5,96.75
2013/11/09,MIL,DAL,L,34.6,79,0.4398,8.2,18.8,0.4218,16.6,21.2,0.758,9.6,29,38.6,20.6,7.4,4.4,15.4,22.2,94
2013/11/12,MIL,MIA,L,34.3333333333333,79,0.43616666666667,8.66666666666667,20.6666666666667,0.41266666666667,16.8333333333333,21.1666666666667,0.7745,9.33333333333333,28.5,37.8333333333333,20.3333333333333,7.83333333333333,3.83333333333333,15.8333333333333,21,94.1666666666667
2013/11/13,MIL,ORL,L,34.1428571428571,78.2857142857143,0.43757142857143,8.14285714285714,19.5714285714286,0.40871428571429,17.2857142857143,21.2857142857143,0.79371428571429,9,29,38,19.7142857142857,8,4.28571428571429,16.1428571428571,20.7142857142857,93.7142857142857
2013/11/15,MIL,IND,L,33.625,79.5,0.4255,8.125,19.125,0.420125,16.25,20,0.79675,10,28.25,38.25,19,7.375,5,16,21.125,91.625
2013/11/16,MIL,OKC,L,33.2222222222222,80.2222222222222,0.417,8.11111111111111,19.4444444444444,0.41388888888889,15.6666666666667,19.4444444444444,0.78966666666667,10.4444444444444,29.3333333333333,39.7777777777778,18.8888888888889,7.33333333333333,5.11111111111111,16,21.1111111111111,90.2222222222222
2013/11/20,MIL,POR,L,33.4,80.2,0.4191,7.8,18.9,0.4082,14.8,18.7,0.769,10.6,29.4,40,18.8,7.2,5.1,16.3,20.9,89.4
2013/11/22,MIL,PHI,L,34.0909090909091,81.3636363636364,0.42109090909091,7.81818181818182,19.8181818181818,0.39618181818182,15,19.1818181818182,0.76345454545455,10.5454545454545,28.7272727272727,39.2727272727273,20.1818181818182,7.36363636363636,5,16.2727272727273,21.0909090909091,91
2013/11/23,MIL,CHA,L,33.75,81.6666666666667,0.41541666666667,7.58333333333333,19.6666666666667,0.38633333333333,14.3333333333333,18.3333333333333,0.76466666666667,10.5833333333333,28.4166666666667,39,20.25,7.33333333333333,4.75,16.1666666666667,21.0833333333333,89.4166666666667
2013/11/25,MIL,DET,L,33.6923076923077,81,0.41823076923077,7.46153846153846,19.6153846153846,0.38092307692308,14.9230769230769,18.9230769230769,0.77092307692308,10.5384615384615,28.4615384615385,39,20.4615384615385,7.15384615384615,4.69230769230769,16.3076923076923,21,89.7692307692308
2013/11/27,MIL,WAS,L,33.9285714285714,81.2857142857143,0.41942857142857,7.64285714285714,20,0.38228571428571,14.4285714285714,18.2857142857143,0.773,10.5714285714286,28.7857142857143,39.3571428571429,20.8571428571429,7.14285714285714,4.42857142857143,16.7142857142857,20.9285714285714,89.9285714285714
2013/11/29,MIL,CHA,L,33.5333333333333,81.4666666666667,0.41366666666667,7.46666666666667,19.8,0.3764,14.4666666666667,18.4,0.77146666666667,10.3333333333333,28.9333333333333,39.2666666666667,20.6,7.33333333333333,4.73333333333333,16.2,21,89
2013/11/30,MIL,BOS,W,33.6875,81.25,0.4166875,7.5,19.625,0.3823125,14.3125,18.5,0.76075,10.375,29.5,39.875,21.0625,7.125,4.9375,16,20.6875,89.1875
2013/12/03,MIL,BOS,L,33.8823529411765,81.0588235294118,0.42005882352941,7.52941176470588,19.5294117647059,0.38594117647059,14.5294117647059,18.6470588235294,0.76641176470588,10.2352941176471,29.2352941176471,39.4705882352941,21.0588235294118,6.94117647058824,5,15.7647058823529,20.4705882352941,89.8235294117647
