Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,NYK,MIL,W,36,71,0.507,3,13,0.231,15,17,0.882,6,28,34,17,12,6,22,16,90
2013/10/31,NYK,CHI,L,33.5,78.5,0.4335,6,18.5,0.303,12.5,15.5,0.798,9.5,28.5,38,18.5,12,7,18.5,20,85.5
2013/11/03,NYK,MIN,L,35.6666666666667,82,0.43866666666667,7,23,0.29566666666667,12,14.6666666666667,0.814,11,30.6666666666667,41.6666666666667,19.3333333333333,10.3333333333333,5.66666666666667,17.6666666666667,22,90.3333333333333
2013/11/05,NYK,CHA,L,35.5,82,0.43575,7.25,24.25,0.29325,13.75,16.75,0.817,11,28.5,39.5,17.5,10.5,5.25,16.75,23.25,92
2013/11/08,NYK,CHA,W,36.8,83.6,0.442,8.2,24.6,0.327,12,15.2,0.7648,11.2,27.8,39,19,9.4,6,15.8,23,93.8
2013/11/10,NYK,SAS,L,35.8333333333333,83.3333333333333,0.43133333333333,7.83333333333333,24.1666666666667,0.318,13.5,17.5,0.758,10.8333333333333,27.1666666666667,38,18.5,8.83333333333333,5.16666666666667,14.8333333333333,22.8333333333333,93
2013/11/13,NYK,ATL,W,36,84,0.42971428571429,8.42857142857143,25.5714285714286,0.323,12.8571428571429,16.8571428571429,0.74857142857143,10.4285714285714,27.4285714285714,37.8571428571429,19.2857142857143,9.14285714285714,4.85714285714286,13.1428571428571,22.2857142857143,93.2857142857143
2013/11/14,NYK,HOU,L,36.25,84.375,0.430625,8.375,24.875,0.332625,14,18.125,0.756875,10.375,27.25,37.625,19.375,8.75,4.875,12.625,23,94.875
2013/11/16,NYK,ATL,L,36,85,0.42477777777778,8.55555555555556,25.4444444444444,0.33266666666667,13.7777777777778,17.8888888888889,0.75611111111111,11.3333333333333,27.4444444444444,38.7777777777778,19.3333333333333,8.44444444444444,4.66666666666667,12.7777777777778,22.6666666666667,94.3333333333333
2013/11/19,NYK,DET,L,35.7,84.1,0.4257,8.3,25.3,0.3244,13.8,17.9,0.7583,11.2,27.2,38.4,19,8.5,4.5,12.8,22.6,93.5
