Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,"POR  ",PHX,L,33,81,0.407,8,26,0.308,17,24,0.708,11,28,39,19,5,5,13,14,91
2013/11/01,"POR  ",DEN,W,38.5,92,0.417,11,24,0.472,14,19.5,0.7205,13.5,33.5,47,22,4,5,10,19.5,102
2013/11/02,"POR  ",SAS,W,40.6666666666667,88.3333333333333,0.46333333333333,10,22.6666666666667,0.448,15,19.3333333333333,0.77866666666667,11.3333333333333,33,44.3333333333333,24.3333333333333,3.66666666666667,5.66666666666667,12,18,106.333333333333
2013/11/05,"POR  ",HOU,L,39.5,88,0.451,10,24.75,0.41675,16,21.75,0.74775,11.25,29.5,40.75,23.75,5,5.75,12.5,20.5,105
2013/11/08,"POR  ",SAC,W,39.4,86.4,0.4584,10,24.4,0.4204,16,21,0.776,11.2,30.8,42,24.6,4.8,5.6,13.4,20,104.8
2013/11/09,"POR  ",SAC,W,38.8333333333333,85.6666666666667,0.45516666666667,9.83333333333333,23.6666666666667,0.42533333333333,15.8333333333333,21.1666666666667,0.76033333333333,12.5,31.1666666666667,43.6666666666667,24.6666666666667,5,5,13.1666666666667,19.5,103.333333333333
2013/11/11,"POR  ",DET,W,39.2857142857143,85.1428571428571,0.46328571428571,10,23.5714285714286,0.43285714285714,15.5714285714286,20.2857142857143,0.785,12.5714285714286,31.1428571428571,43.7142857142857,24.4285714285714,5.28571428571429,4.57142857142857,13.4285714285714,19,104.142857142857
2013/11/13,"POR  ",PHX,W,38.75,85,0.4575,9.5,22.5,0.42875,15.375,20.625,0.763,12.75,31.875,44.625,23.25,5.25,4.375,13.75,18.25,102.375
2013/11/15,"POR  ",BOS,W,38.8888888888889,84.6666666666667,0.46088888888889,9.44444444444444,22.8888888888889,0.41955555555556,15.8888888888889,20.7777777777778,0.77922222222222,12.2222222222222,32.6666666666667,44.8888888888889,23,5.66666666666667,4.11111111111111,14.2222222222222,18.4444444444444,103.111111111111
2013/11/17,"POR  ",TOR,W,39.4,86.1,0.4592,10,23.8,0.4245,15.8,20.7,0.7763,12.5,32.5,45,23.2,5.6,4.3,14.3,19.1,104.6
2013/11/18,"POR  ",BKN,W,39.5454545454545,85.1818181818182,0.46645454545455,9.81818181818182,23.2727272727273,0.42627272727273,16,20.7272727272727,0.78363636363636,12.1818181818182,32.9090909090909,45.0909090909091,22.8181818181818,5.54545454545455,4.36363636363636,14.2727272727273,19.6363636363636,104.909090909091
2013/11/20,"POR  ",MIL,W,39.1666666666667,85.25,0.4615,9.91666666666667,23.9166666666667,0.42033333333333,15.5,20.25,0.77391666666667,12.5,32.5833333333333,45.0833333333333,23.0833333333333,5.91666666666667,4.41666666666667,14.4166666666667,19.1666666666667,103.75
2013/11/22,"POR  ",CHI,W,38.9230769230769,85.4615384615385,0.45746153846154,10.0769230769231,24.0769230769231,0.42353846153846,15.3846153846154,19.8461538461538,0.78615384615385,12.3076923076923,32.3076923076923,44.6153846153846,22.9230769230769,6.30769230769231,4.30769230769231,14.2307692307692,19.0769230769231,103.307692307692
2013/11/23,"POR  ",GSW,W,38.7857142857143,85.5,0.4555,10.0714285714286,23.8571428571429,0.42728571428571,16.3571428571429,20.9285714285714,0.78921428571429,12.3571428571429,32.4285714285714,44.7857142857143,23.2142857142857,6.42857142857143,4.64285714285714,14.2857142857143,19.2857142857143,104
2013/11/25,"POR  ",NYK,W,38.6666666666667,85.4,0.45446666666667,10,23.9333333333333,0.4228,16.5333333333333,21,0.7942,12.2,32.6666666666667,44.8666666666667,22.9333333333333,6.2,4.66666666666667,13.8666666666667,19,103.866666666667
2013/11/27,"POR  ",PHX,L,38.6875,85.4375,0.454375,9.8125,23.625,0.419375,16.8125,21.1875,0.79925,12.375,32.125,44.5,22.8125,6.0625,4.5,13.75,19.0625,104
2013/12/01,"POR  ",LAL,W,38.6470588235294,85.5294117647059,0.45335294117647,9.76470588235294,23.5882352941176,0.41770588235294,17.5294117647059,21.9411764705882,0.80241176470588,12.5294117647059,32.4117647058824,44.9411764705882,23.1176470588235,6.05882352941176,4.29411764705882,13.6470588235294,19.0588235294118,104.588235294118
2013/12/02,"POR  ",IND,W,38.5,85,0.4545,9.5,23,0.41588888888889,18.1666666666667,22.5555555555556,0.80666666666667,12.1666666666667,32.5,44.6666666666667,22.7777777777778,5.88888888888889,4.27777777777778,13.6666666666667,19.1111111111111,104.666666666667
2013/12/04,"POR  ",OKC,W,38.7894736842105,85.6842105263158,0.45421052631579,9.42105263157895,23,0.41231578947368,18,22.2631578947368,0.81063157894737,12.3684210526316,32.4210526315789,44.7894736842105,22.7368421052632,5.94736842105263,4.42105263157895,13.5263157894737,18.9473684210526,105
2013/12/06,"POR  ",UTA,W,39.15,85.55,0.4592,9.8,23,0.42865,18.15,22.35,0.81385,12.6,32.45,45.05,22.9,6.1,4.45,13.9,18.85,106.25
2013/12/07,"POR  ",DAL,L,39.1428571428571,85.6190476190476,0.45866666666667,9.76190476190476,23.3333333333333,0.42252380952381,18.1904761904762,22.4285714285714,0.81280952380952,12.8095238095238,32.4761904761905,45.2857142857143,22.8571428571429,6,4.38095238095238,14,18.5714285714286,106.238095238095
2013/12/09,"POR  ",UTA,W,39.1818181818182,85.5909090909091,0.45922727272727,9.59090909090909,23.1363636363636,0.41768181818182,18.2272727272727,22.3181818181818,0.81904545454545,12.7272727272727,32.5,45.2272727272727,22.8636363636364,6,4.45454545454545,13.8636363636364,18.5909090909091,106.181818181818
2013/12/12,"POR  ",HOU,W,39.1739130434783,85.7391304347826,0.45830434782609,9.52173913043478,23.304347826087,0.41239130434783,18.5217391304348,22.6521739130435,0.81965217391304,12.8260869565217,32.695652173913,45.5217391304348,22.8260869565217,5.91304347826087,4.56521739130435,13.8695652173913,18.6521739130435,106.391304347826
2013/12/14,"POR  ",PHI,W,39.7083333333333,86.0416666666667,0.4625,10,23.875,0.418875,18.3333333333333,22.5416666666667,0.81466666666667,12.9166666666667,32.625,45.5416666666667,23.5833333333333,6.04166666666667,4.70833333333333,14.0416666666667,18.5416666666667,107.75
2013/12/15,"POR  ",DET,W,39.76,86.56,0.46056,9.88,23.96,0.41288,18.48,22.68,0.81592,13,32.6,45.6,23.6,6.16,4.64,13.88,18.64,107.88
2013/12/17,"POR  ",CLE,W,39.8076923076923,86.7692307692308,0.46,10.0769230769231,24.3076923076923,0.4145,18.6153846153846,22.7692307692308,0.81838461538462,13.1923076923077,32.8076923076923,46,23.6923076923077,6,4.65384615384615,13.8846153846154,18.5384615384615,108.307692307692
2013/12/18,"POR  ",MIN,L,39.8148148148148,87.037037037037,0.45874074074074,10.2222222222222,24.8888888888889,0.41211111111111,18.4814814814815,22.6296296296296,0.8172962962963,13.0740740740741,32.8888888888889,45.962962962963,23.5185185185185,5.96296296296296,4.62962962962963,13.8518518518519,18.8518518518519,108.333333333333
