Date,Team,Opponent,W/L,FGM,FGA,FG%,3FGM,3FGA,3FG%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2013/10/30,SAC,DEN,W,33,81,0.407,8,21,0.381,16,23,0.696,11,30,41,13,8,7,14,26,90
2013/11/01,SAC,LAC,L,34.5,80,0.4315,7,19,0.367,19.5,27.5,0.7075,10.5,27.5,38,17,7.5,6,11.5,26.5,95.5
2013/11/02,SAC,GSW,L,33,82.3333333333333,0.40266666666667,6.66666666666667,21.3333333333333,0.32166666666667,20,26.3333333333333,0.76333333333333,12.3333333333333,29,41.3333333333333,16.6666666666667,8,4.33333333333333,12.3333333333333,23.6666666666667,92.6666666666667
2013/11/05,SAC,ATL,L,33.5,81.75,0.4115,7.5,23.75,0.322,20,25,0.8105,11.75,29,40.75,18,8.5,4.25,13.75,24.25,94.5
2013/11/08,SAC,POR,L,34,82.6,0.413,7.2,23.4,0.3122,18.6,23,0.8218,11,27.8,38.8,18.4,9,3.6,13.2,24.2,93.8
2013/11/09,SAC,POR,L,34.3333333333333,81.8333333333333,0.42116666666667,6.5,21.5,0.30183333333333,17.1666666666667,21.5,0.80383333333333,10.5,27.3333333333333,37.8333333333333,18.1666666666667,8.66666666666667,3.33333333333333,12.6666666666667,23.5,92.3333333333333
2013/11/13,SAC,BKN,W,35.2857142857143,83.5714285714286,0.42328571428571,6.71428571428571,21.8571428571429,0.30628571428571,17.1428571428571,21.7142857142857,0.79457142857143,10.7142857142857,28.8571428571429,39.5714285714286,19.2857142857143,8.57142857142857,3.28571428571429,11.7142857142857,23.4285714285714,94.4285714285714
2013/11/15,SAC,DET,L,35.125,83.125,0.4235,7.125,22.25,0.318,16.5,21.125,0.7835,10.75,29.25,40,19.625,8,3.5,12.375,22.875,93.875
2013/11/17,SAC,MEM,L,34.8888888888889,83.5555555555556,0.41855555555556,7.11111111111111,22.3333333333333,0.31644444444444,16.1111111111111,20.6666666666667,0.78144444444444,10.7777777777778,28.6666666666667,39.4444444444444,19.7777777777778,8,3.33333333333333,11.8888888888889,22.5555555555556,93
2013/11/19,SAC,PHX,W,35.3,83.5,0.4237,7.2,22.3,0.3212,16.6,21.4,0.7783,11.2,29.1,40.3,19.9,8,3.3,12.7,22.7,94.4
2013/11/20,SAC,PHX,W,35.4545454545455,83.1818181818182,0.42727272727273,7.18181818181818,21.8181818181818,0.32945454545455,18,22.9090909090909,0.78409090909091,11,29.4545454545455,40.4545454545455,19.8181818181818,8.27272727272727,3.18181818181818,12.4545454545455,22.7272727272727,96.0909090909091
2013/11/23,SAC,LAC,L,35.5833333333333,83.5833333333333,0.42666666666667,7,21.4166666666667,0.3265,18.4166666666667,23.5,0.78266666666667,11,29.9166666666667,40.9166666666667,20.3333333333333,8.25,3.25,12.25,23.5833333333333,96.5833333333333
2013/11/24,SAC,LAL,L,35.5384615384615,83.6153846153846,0.42592307692308,7.07692307692308,21.6153846153846,0.327,17.6153846153846,22.8461538461538,0.76346153846154,10.6923076923077,30.3076923076923,41,20.6153846153846,8.07692307692308,3.23076923076923,12.3076923076923,23.0769230769231,95.7692307692308
2013/11/29,SAC,LAC,L,36,84.1428571428571,0.4285,7,21.7142857142857,0.32228571428571,16.9285714285714,21.9285714285714,0.76607142857143,10.7857142857143,30.4285714285714,41.2142857142857,20.8571428571429,7.78571428571429,3.35714285714286,12.5,23.7857142857143,95.9285714285714
2013/12/01,SAC,GSW,L,36.2666666666667,83.6,0.435,7.13333333333333,21.5333333333333,0.3324,17.4,22.3333333333333,0.77213333333333,10.8,30.2666666666667,41.0666666666667,20.9333333333333,8,3.2,13.2666666666667,23.8666666666667,97.0666666666667
2013/12/03,SAC,OKC,L,36.1875,83.9375,0.432375,7.3125,22,0.3331875,17.25,22.125,0.7731875,10.9375,30.125,41.0625,21.125,8.0625,3.3125,12.9375,23.5,96.9375
2013/12/06,SAC,LAL,L,36.2352941176471,84.0588235294118,0.43223529411765,7.47058823529412,22,0.34035294117647,17.1764705882353,22.1176470588235,0.77047058823529,11.3529411764706,30.2941176470588,41.6470588235294,21.3529411764706,8.17647058823529,3.35294117647059,13.0588235294118,23.2352941176471,97.1176470588235
2013/12/07,SAC,UTA,W,36.3888888888889,84.6111111111111,0.43127777777778,7.22222222222222,21.6111111111111,0.33255555555556,17.9444444444444,23,0.773,11.4444444444444,30.6111111111111,42.0555555555556,21.6111111111111,8.33333333333333,3.55555555555556,12.8888888888889,23.3888888888889,97.9444444444444
2013/12/09,SAC,DAL,W,36.4736842105263,84.4210526315789,0.43326315789474,7.31578947368421,21.7894736842105,0.334,18.4210526315789,23.5789473684211,0.77410526315789,11.4210526315789,31.1052631578947,42.5263157894737,21.6842105263158,8.42105263157895,3.57894736842105,13.3157894736842,23.3684210526316,98.6842105263158
2013/12/11,SAC,UTA,L,36.4,84.1,0.43405,7.15,21.35,0.3327,18.85,24.05,0.7763,11.5,30.9,42.4,21.25,8.1,3.6,13.25,23.2,98.8
2013/12/13,SAC,PHX,L,36.4761904761905,84.2380952380952,0.43419047619048,7.09523809523809,21.2380952380952,0.33190476190476,19.1428571428571,24.2857142857143,0.78038095238095,11.7619047619048,30.6666666666667,42.4285714285714,20.8095238095238,8.23809523809524,3.61904761904762,13.3333333333333,23.1428571428571,99.1904761904762
2013/12/15,SAC,HOU,W,36.5909090909091,84.0909090909091,0.43631818181818,6.90909090909091,20.8636363636364,0.32731818181818,19.4090909090909,24.5454545454545,0.78277272727273,11.5454545454545,30.9090909090909,42.4545454545455,20.6363636363636,8.22727272727273,3.72727272727273,13.4090909090909,23.2272727272727,99.5
2013/12/17,SAC,CHA,L,36.304347826087,83.9130434782609,0.43365217391304,6.78260869565217,20.6086956521739,0.32469565217391,19.5652173913043,24.695652173913,0.7844347826087,11.4347826086957,31,42.4347826086956,20.5217391304348,8.21739130434783,3.73913043478261,13.4782608695652,23.2173913043478,98.9565217391304
2013/12/18,SAC,ATL,L,36.4583333333333,83.9166666666667,0.43541666666667,6.75,20.375,0.32783333333333,19.625,24.7083333333333,0.78675,11.25,30.7916666666667,42.0416666666667,20.7083333333333,8.125,3.625,13.4583333333333,23.0833333333333,99.2916666666667
2013/12/20,SAC,MIA,L,36.72,83.52,0.44124,6.76,20.44,0.32744,19.24,24.68,0.77196,11.08,30.56,41.64,20.88,8.36,3.52,13.72,22.8,99.44
2013/12/21,SAC,ORL,W,36.8076923076923,83.3461538461538,0.44326923076923,6.96153846153846,20.5384615384615,0.33492307692308,19.0769230769231,24.6153846153846,0.76734615384615,11.1153846153846,30.6153846153846,41.7307692307692,20.7307692307692,8.34615384615385,3.53846153846154,13.7692307692308,22.8076923076923,99.6538461538462
2013/12/23,SAC,NOP,L,36.5925925925926,83,0.44237037037037,6.96296296296296,20.4074074074074,0.33777777777778,19.5185185185185,25.2592592592593,0.76625925925926,11.2962962962963,30.4814814814815,41.7777777777778,20.5185185185185,8.37037037037037,3.62962962962963,14.0740740740741,22.7777777777778,99.6666666666667
2013/12/27,SAC,MIA,W,36.75,83,0.44421428571429,6.89285714285714,20.3928571428571,0.33464285714286,19.5714285714286,25.25,0.76889285714286,11.25,30.8571428571429,42.1071428571429,20.6071428571429,8.25,3.64285714285714,14.3571428571429,22.7142857142857,99.9642857142857
2013/12/29,SAC,SAS,L,36.8965517241379,83.2758620689655,0.44444827586207,6.89655172413793,20.1724137931034,0.34034482758621,19.4137931034483,25.0689655172414,0.76824137931034,11.4137931034483,31,42.4137931034483,20.5862068965517,8.06896551724138,3.72413793103448,14.1034482758621,22.551724137931,100.103448275862
